"filename", "language", "XML", "Markdown", "JavaScript", "JSON with Comments", "Django Template", "JSON", "CSS", "Vue.js", "comment", "blank", "total"
"d:\Project-FrontEnd\FrontEnd\Front-EFMS.iml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Project-FrontEnd\FrontEnd\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Project-FrontEnd\FrontEnd\efms-front\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
"d:\Project-FrontEnd\FrontEnd\efms-front\README.md", "Markdown", 0, 14, 0, 0, 0, 0, 0, 0, 0, 8, 22
"d:\Project-FrontEnd\FrontEnd\efms-front\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Project-FrontEnd\FrontEnd\efms-front\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\Project-FrontEnd\FrontEnd\efms-front\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 5, 17, 102
"d:\Project-FrontEnd\FrontEnd\efms-front\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Project-FrontEnd\FrontEnd\efms-front\build\webpack.base.conf.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 0, 4, 4, 80
"d:\Project-FrontEnd\FrontEnd\efms-front\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 7, 7, 96
"d:\Project-FrontEnd\FrontEnd\efms-front\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 24, 8, 146
"d:\Project-FrontEnd\FrontEnd\efms-front\config\dev.env.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Project-FrontEnd\FrontEnd\efms-front\config\index.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 25, 14, 74
"d:\Project-FrontEnd\FrontEnd\efms-front\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Project-FrontEnd\FrontEnd\efms-front\index.html", "Django Template", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\Project-FrontEnd\FrontEnd\efms-front\jsconfig.json", "JSON with Comments", 0, 0, 0, 11, 0, 0, 0, 0, 2, 0, 13
"d:\Project-FrontEnd\FrontEnd\efms-front\package-lock.json", "JSON", 0, 0, 0, 0, 0, 27300, 0, 0, 0, 1, 27301
"d:\Project-FrontEnd\FrontEnd\efms-front\package.json", "JSON", 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"d:\Project-FrontEnd\FrontEnd\efms-front\src\App.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 19, 0, 2, 21
"d:\Project-FrontEnd\FrontEnd\efms-front\src\api\http.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\CurrentUser.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 75, 0, 4, 79
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Header.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Menu.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 53
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Pagination.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 44, 0, 5, 49
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\RichTextEditor.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 56, 72, 6, 134
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Show\showDep.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 49
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Show\showName.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 43, 0, 4, 47
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Show\showResult.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 46
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Show\showRole.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 46
"d:\Project-FrontEnd\FrontEnd\efms-front\src\components\Show\showState.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 56, 0, 3, 59
"d:\Project-FrontEnd\FrontEnd\efms-front\src\main.js", "JavaScript", 0, 0, 155, 0, 0, 0, 0, 0, 5, 7, 167
"d:\Project-FrontEnd\FrontEnd\efms-front\src\router\index.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 0, 3, 5, 178
"d:\Project-FrontEnd\FrontEnd\efms-front\src\store\index.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 0, 0, 2, 67
"d:\Project-FrontEnd\FrontEnd\efms-front\src\styles\base.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"d:\Project-FrontEnd\FrontEnd\efms-front\src\utils\server.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 28, 1, 48
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\AddDeclaration\AddDeclaration.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 178, 7, 9, 194
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\AddDeclaration\AddDeclarationDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 97, 0, 6, 103
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Approve\Approve.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 134, 0, 10, 144
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Approve\ApproveDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 174, 1, 6, 181
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Declare\Declare.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 88, 0, 3, 91
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Dispatch\Dispatch.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 128, 5, 6, 139
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Dispatch\DispatchDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 121, 2, 7, 130
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EmpManage\EmpManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 302, 11, 16, 329
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EmpManage\empDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 172, 0, 9, 181
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EqmManage\EqmManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 266, 13, 14, 293
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\EqmManage\eqmDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 147, 0, 7, 154
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\AddDeclarationDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 117, 0, 4, 121
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\FixLogDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 146, 0, 5, 151
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\Home.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 261, 12, 23, 296
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\Home\ReportResultDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 147, 1, 6, 154
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReport\ResultReport.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 186, 8, 10, 204
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReport\ReviewDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 115, 0, 4, 119
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReview\ResultDetailDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 183, 3, 4, 190
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\ResultReview\ResultReview.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 143, 8, 7, 158
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\RoleManage\RoleManage.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 266, 19, 15, 300
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\RoleManage\roleDialog.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 157, 3, 4, 164
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\index\index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 56, 0, 5, 61
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\login.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 161, 3, 2, 166
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\updatePassword\index.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 172, 0, 5, 177
"d:\Project-FrontEnd\FrontEnd\efms-front\src\views\wrong\NoAuthority.vue", "Vue.js", 0, 0, 0, 0, 0, 0, 0, 40, 0, 2, 42
"d:\Project-FrontEnd\FrontEnd\efms-front\theme\index.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Project-FrontEnd\FrontEnd\efms-front\vue.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 9, 15, 921, 11, 13, 27370, 17, 4478, 273, 333, 33440